# 
# 07/11/2022 13:51:44
# The parameters defined in the project are:
# ,P4 - parameter-1,P5 - report-def-1-op [N],P6 - report-def-2-op [N]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P4,P5,P6
DP 0,0,0.55707224,0.063093259
DP 1,0.0523,0.49549854,0.049091838
DP 2,0.1051,0.45786345,0.037262244
DP 3,0.1584,0.38695878,0.025600865
DP 4,0.2126,0.33572833,0.015782584
DP 5,0.2679,0.3165195,0.0069404136
DP 6,0.364,0.35111317,-0.0025574856
DP 7,0.4663,0.49951368,-0.0079284155
DP 8,0.5774,0.92624431,-0.0051096724
DP 9,0.8391,1.7700326,0.0019158491
DP 10,1,1.752654,-0.00076931732
